"Thème","French","English"
"Basis I","S'il-vous-plaît","Please"
"Basis I","Merci","Thank you, Thanks"
"Basis I","Je vous/t' en prie","You're welcome"
"Basis I","Pardon, excusez-moi (pour passer)","Excuse me"
"Basis I","Salut","Hi"
"Basis I","Bonjour","Hello "
"Basis I","Au revoir ","Good bye"
"Basis I","Bonsoir","Good evening"
"Basis I","Bonne nuit","Good night"
"Basis I","Bienvenue","Welcome"
"Basis I","Parlez-vous anglais ?","Do you speak English?"
"Basis I","Je parle anglais","I speak English"
"Basis I","Je ne parle pas anglais","I don't speak English"
"Basis I","Je parle un peu anglais","I speak a little English"
"Basis I","Je parle russe","I speak Russian"
"Basis I","Je parle français","I speak French"
"Basis I","Je parle espagnol","I speak Spanish"
"Basis I","Me comprenez-vous?","Do you understand me?"
"Basis I","Je comprends","I understand"
"Basis I","Je ne comprends pas","I don't understand"
"Basis I","Est-ce que tu pourrais répéter ?","Could you please repeat that? (informal)"
"Basis I","Pourriez-vous répéter, s'il-vous-plaît?","Could you please repeat that? (formal)"
"Basis I","Pourriez-vous parler plus lentement, s'il vous plaît?","Could you please speak more slowly? (formal)"
"Basis I","Pourriez-vous l'écrire, s'il vous plaît ?","Could you write it down please? (formal)"
"Basis I","Je ne sais pas comment dire cela","I don't know how to say that"
"Basis I","Je ne connais pas le mot exact","I don't know the right word"
"Basis I","Qu'avez-vous dit ?","What did you say? (formal)"
"Basis I","Qu'est-ce que tu as dit?","What did you say? (informal)"
"Basis I","Comment dit-on ceci en .... ?","How do you say that in ... ? (formal)"
"Basis I","Comment écrit-on cela ?","How do you write that? (formal)"
"Basis I","Comment prononce-t-on cela ?","How do you pronounce that? (formal)"
"Basis I","Pouvez-vous me traduire cela ?","Can you translate this for me? (formal)"
"Basis I","Est-ce que je l'ai dit correctement ?","Did I say that right?"
"Basis I","Comment allez-vous ?","How are you doing? (formal)"
"Basis I","Comment vas-tu?","How are you doing? (informal)"
"Basis I","Ça va très bien!","I'm doing great!"
"Basis I","Je vais bien","I'm fine"
"Basis I","Pas très bien","I'm not so well"
"Basis I","Quel âge as-tu?","How old are you? (informal)"
"Basis I","Quel âge avez-vous?","How old are you? (formal)"
"Basis I","Quel âge a-t-il?","How old is he?"
"Basis I","Quel âge a-t-elle?","How old is she?"
"Basis I","J'ai... ans","I am ... years old"
"Basis I","Je ne sais pas","I don't know"
"présentation","Comment vous-appelez vous?","What is your name? (formal)"
"présentation","Comment t'appelles-tu?","What is your name? (informal)"
"présentation","Tu es d'ici?","Are you from here?"
"présentation","Je m'appelle ..., et toi?","My name is ... , what's yours? (informal)"
"présentation","Enchanté, moi c'est ...","Pleased to meet you, my name is .. (formal)"
"présentation","Je te présente","Let me introduce you to ... (informal)"
"présentation","Qu'est-ce que vous faites dans la vie?","What do you do for a living (formal) ?"
"présentation","Qu'est-ce que tu fais dans la vie?","What do you do for a living (informal) ?"
"présentation","Tu travailles dans quoi?","What area do you work in (informal)"
"Basis II","Je suis prêt(e)","I'm ready"
"Basis II","Allons-y !","Let's go"
"Basis II","Je suis désolé(e)","Sorry"
"Basis II","Puis-je payer en liquide ?","Can I pay with cash?"
"Basis II","Est-ce que je peux payer par carte de crédit?","Can I pay by credit card?"
"Basis II","Acceptez-vous... ?","Do you accept ...? (formal, context, do you accept, credit card ..)"
"Basis II","Pouvez-vous changer ces chèques de voyage ?","Can you change these traveler's checks? (formal)"
"Basis II","Pouvez-vous changer cela en... ?","Can you change this into ...? (formal, context: changing money)"
"Basis II","Voici ma carte","Here is my card. (context: credit card)"
"Basis II","Combien prenez-vous de commission ?","How much commission do you charge? (formal, context: changing money)"
"Basis II","Je voudrais changer des dollars","I want to change some dollars"
"Basis II","Quel est le taux de change ?","What is the exchange rate?"
"Basis II","Où puis-je changer mon argent ?","Where can I change my money?"
"Basis II","Où se trouve la banque la plus proche ?","Where is the nearest bank?"
"Basis II","Où dois-je signer ?","Where should I sign?"
"Basis II","J'ai rendez-vous avec...","I have an appointment with ..."
"Basis II","Combien coûte l'entrée ?","How much is the entrance fee?"
"Basis II","Quel est le tarif horaire ?","How much does it cost per hour?"
"Basis II","Quel est le tarif hebdomadaire ?","How much does it cost per week?"
"Basis II","Est-ce gratuit ?","Is it free?"
"Computer","Avez-vous un ordinateur ?","Do you have a computer? (formal)"
"Computer","Avez-vous une connexion internet ?","Do you have an internet connection? (formal, context: cyber café)"
"Computer","Puis-je envoyer un e-mail / un courriel ?","Can I send an email?"
"Computer","Puis-je lire mes messages ?","Can I read my email?"
"Computer","Puis-je imprimer quelque-chose ?","Can I print something?"
"Computer","Puis-je scanner quelque-chose ?","Can I scan something?"
"Computer","Mon ordinateur a planté","My computer crashed"
"Computer","Il faut redémarrer","You need to reboot"
"Computer","Puis-je installer... ?","May I install ... ?"
"Computer","Quelle est votre adresse e-mail ?","What's your e-mail address? (formal)"
"Computer","Mon e-mail est...","My email adress is ..."
"Étude","Quelle est l'adresse de... ?","What is the adress (in the sense: URL)?"
"Étude","Qu'étudiez-vous ?","What do you study? (formal)"
"Étude","J'étudie ...","I study ..."
"Étude","le droit","law"
"Étude","Dans quelle université étudiez-vous ?","In which university do you study? (formal)"
"Étude","J'étudie à","I study at ..."
"Étude","J'ai cours aujourd'hui","I have class today"
"Étude","Je suis libre aujourd'hui","I'm free today"
"Étude","Je suis étudiant","I am a high school student"
"Étude","Je dois aller en cours maintenant","I have to go to class now"
"urgence","Appelez un docteur !","Call a doctor!"
"urgence","Appelez une ambulance !","Call an ambulance!"
"urgence","Appelez la police !","Call the police!"
"urgence","Il ne peut pas respirer (contexte: blessé)","He can't breathe"
"urgence","Il ne peut pas bouger (contexte: blessé)","He can't move (context: he is hurt)"
"urgence","Il ne s'est pas arrêté (contexte: en voiture)","He did not stop (context: with his car)"
"urgence","Il m'est rentré dedans","He drove into me (with his car, into my car)"
"urgence","Il conduisait trop vite","He was driving too fast"
"urgence","Il s'est coupé","He cut himself (preterite)"
"urgence","Je ne peux pas bouger mon bras","I can't move my arm"
"urgence","Je ne peux pas bouger ma jambe","I can't move my leg"
"urgence","On m'a volé mon passeport","My passport has been stolen"
"urgence","On m'a volé mon argent","Somebody stole my money"
"urgence","On m'a volé ma voiture","Somebody stole my car"
"urgence","Au feu !","Fire!"
"urgence","Où est l'hôpital le plus proche ?","Where is the nearest hospital?"
"urgence","Où est le poste de police le plus proche ?","Where is the nearest police station?"
"ressenti","J'aime ça","I like it"
"ressenti","Je suis heureux ","I'm happy "
"ressenti","Je suis en colère","I'm angry"
"ressenti","Je suis déçu(e)","I am disappointed"
"ressenti","Je suis satisfait(e)","I am satisfied"
"ressenti","Je suis fatigué(e)","I'm tired "
"ressenti","J'ai peur","I'm afraid"
"ressenti","J'ai chaud","I'm hot"
"ressenti","J'ai froid","I'm cold"
"ressenti","J'ai sommeil","I am sleepy"
"ressenti","Nous nous plaisons ici","We like this place"
"ressenti","C'est (très) intéressant","It is (very) interesting"
"ressenti","Nous trouvons cela très intéressant","We find it very interesting"
"ressenti","C'est (très) ennuyeux","It is (very) boring"
"ressenti","C'est beau","This is beautiful"
"ressenti","Il est (très) beau","He is (very) handsome"
"ressenti","Elle est (très) jolie","She is (very) pretty"
"ressenti","Il est sexy !","He is hot!"
"ressenti","Elle est sexy !","She is hot!"
"ressenti","Regardez !","Look!"
"ressenti","Écoutez !","Listen!"
"ressenti","Super ! / Cool !","Super! / Cool!"
"ressenti","Génial !","Awesome!"
"ressenti","J'ai faim","I'm hungry"
"ressenti","J'ai soif","I am thirsty"
"boire un verre","On va manger quelque chose ? (informal)","Let's eat something? (informal)"
"boire un verre","On va boire un verre ? (informal)","Let's have a drink? (informal)"
"boire un verre","Avez-vous quelque chose à manger ?","Do you have something to eat? (formal, context: in a hotel)"
"boire un verre","Avez-vous quelque chose à boire?","Do you have something to drink? (formal, context: in a hotel)"
"boire un verre","Voulez-vous manger quelque chose ?","Do you want something to eat? (formal, context: in a hotel)"
"boire un verre","Puis-je avoir quelque-chose à boire ?","May I have something to drink? (formal, context: in a hotel)"
"boire un verre","Voulez-vous boire quelque chose ?","Do you want something to drink? (formal, context: in a hotel)"
"restau","Je voudrais (boire) ... , s'il vous plaît","I would like (to drink) ... Please"
"restau","une tasse de café | un café","a cup of coffee | a coffee"
"restau","une tasse de thé | un thé","a cup of tea | a tea"
"restau","un verre de bière | une bière","a glass of beer | a beer"
"restau","un verre de vin | du vin","a glass of wine | some wine"
"restau","un verre de vin rouge","a glass of red wine"
"restau","un verre de vin blanc","a glass of white wine"
"restau","un verre de jus d'orange | un jus d'orange","a glass of orange juice | an orange juice"
"restau","un verre de jus de pomme | un jus de pomme","a glass of apple juice | an apple juice"
"restau","Puis-je vous offrir quelque chose à boire ?","Can I get you something to drink?"
"restau","Que voulez-vous boire ?","What would you like to drink?"
"restau","Que voulez-vous manger ?","What would you like to eat? (formal, context: in a hotel)"
"restau","Que me/nous recommandez-vous ?","What would you recommend us? (formal, context: in a hotel)"
"restau","Puis-je voir le menu, s'il vous plaît ?","May I see the menu, please?"
"hotel","Je voudrais réserver...","I would like to book… (formal, context: in a hotel)"
"hotel","Je souhaiterais réserver...","I wish to book… (formal, context: in a hotel)"
"hotel","Avez-vous des chambres libres?","Do you have any rooms available? (formal, context: in a hotel)"
"hotel","Je voudrais réserver une chambre pour le...","I would like to book a room for ..."
"hotel","Je voudrais réserver une salle au nom de...","I would like to book a conference room…in the name of..."
"hotel","Serait-il possible de changer la date de réservation au...","Would it be possible to change the booking date…"
"hotel","J'ai bien peur de devoir vous demander de modifier ma réservation du...au...","I am afraid I must ask you to alter my booking from…to… (formal, context: in a hotel)"
"hotel","J'ai bien peur de devoir annuler notre réservation de...parce que...","I'm afraid I have to cancel our reservation for…because… (formal, context: in a hotel)"
"Basis I/II","à bientôt","see you soon"
"Basis I/II","à demain","see you tomorrow"
"Basis I/II","à plus tard","see you later"
"Basis I/II","non merci","no thank you"
"Basis I/II","d'accord","okay"
"Basis I/II","Pardon, excusez-moi (pour demander pardon)","Excuse me (for forgiveness)"
"Basis I/II","C'est combien?","How much? (informal)"
"Basis I/II","Qu'Est-ce que c'est?","What is it?"
"Basis I/II","J'aimerais","I would like ..."
"Basis I/II","Je voudrais","I would like ..."
"Basis I/II","Comment ça va?","How are you?"
"Basis I/II","Salut, ça va?","Yo, what's up?"
"Basis I/II","ça vous dérange si ... ?","do you mind if ... ? (formal)"
"Basis I/II","Où sont les toilettes?","Where is the bathroom?"
"Basis I/II","ah bon?","oh really?"
,"Défense d'entrer","no entry"
,"Un instant, s'il vous plaît","One moment, please"
,"Asseyez-vous, je vous en prie","Please have a seat"
"voc de salope","Je comprends un petit peu ....","I understand a little bit ...."
"voc de salope","Je ne comprends rien","I do not understand anything"
"voc de salope","J'arrive à comprendre un peu mais je ne peux pas parler.","I can understand a little but I can not speak"
"voc de salope","hein?","huh?"
"voc de salope","Pardon?","Pardon?"
"voc de salope","Qu'est-ce qui se passe?","What's going on?"
"voc de salope","Qu'est-ce-qui s'est passé?","What happened?"
"voc de salope","Comment est-ce que ça s'appelle?","What is it called?"
"voc de salope","ça s'écrit ...","it is spelled ..."
"voc de salope","C'est une sorte de ...","It is a kind of ..."
"voc de salope","J'en avais fait (langue) à l'école mais j'ai tout oublié","I studied it (language) at school but I have forgotten everything"
"voc de salope","J'ai appris quelques mots avec un livre","I learned a few words from a book"
"voc de salope","Il y a des sons difficiles à prononcer","There are sounds difficult to pronounce"
"voc de salope","Je connais les bases mais pas plus","I know the basics but not more"
"voc de salope","Tu parles très bien","You speak very well"
"voc de salope","Je trouve que tu te débrouilles très bien","I think you're doing very well"
"voc de salope","Vous n'avez presque pas d'accent","You have almost no accent"
"chercher son chemin","Je cherche ... la rue...","I am looking for ... Street X"
"chercher son chemin","Excusez-moi, où est ...","Excuse me, where is ..."
"chercher son chemin","Est-ce-qu'il y a un plan de la ville quelque part ?","Is there a map of the city somewhere?"
"chercher son chemin","Je me suis perdu","I'm lost"
"chercher son chemin","Je crois que je me suis trompé de chemin","I think I went the wrong way"
"chercher son chemin","Quelle est la route pour ... ?","What is the way to ... ?"
"chercher son chemin","C'est loin?","Is it far?"
"chercher son chemin","Vous êtes à pied ou en voiture?","You are walking or driving? (formal)"
"chercher son chemin","C'est à 5 minutes à pied","It is 5 minutes walking"
"chercher son chemin","Prenez la prochaine sortie","Take the next exit (formal)"
"chercher son chemin","Prenez la première rue à gauche après le feu","Take the first left after the traffic light (formal)"
"chercher son chemin","Suivez-moi, je vais vous y conduire","Follow me, I'll take you there (formal)"
"chercher son chemin","C'est tout près","It is close"
"chercher son chemin","C'est assez loin","It's kind of far away"
"chercher son chemin","C'est très loin","It is very far"
"chercher son chemin","C'est juste après le carrefour","It's right after the crossroads"
"chercher son chemin","Vous verrez, c'est indiqué","You'll see, it is well signaled (direction, not sure of the translation)"
"chercher son chemin","Vous y êtes presque","You're almost there (formal)"
,"Je suis prof","I am a teacher"
,"Je suis à la retraite","I am retired"
,"J'ai deux enfants, un de huit ans, et un de douze ans","I have two children, one is eight, and the other is twelve"
,"Je travaille dans le marketing","I work in marketing"
"vacances","Est-ce que vous êtes déjà allé aux Etats-Unis?","Have you ever been in the United States? (formal)"
"vacances","Vous êtes américain?","Are you American?"
"vacances","J'ai de la famille en France","I have relatives in France"
"vacances","Je ne suis ici que pour deux jours","I'll stay here only for two days"
"vacances","Nous ne sommes ici que pour deux jours","We are here only for two days"
"vacances","C'est la première fois que je viens","It is my first time here"
"vacances","Je suis arrivé il y a quatre jours","I arrived four days ago"
"vacances","On est arrivés il y a quatre jours","We arrived four days ago"
"vacances","Je visite la région","I am visiting the area"
"vacances","Nous visitons la région","We are visiting the area"
"vacances","Je suis en vacances","I'm on vacation"
"vacances","Nous sommes en vacances","We're on vacation"
"vacances","C'est notre lune de miel","It is our honeymoon"
"vacances","On est venus pour notre anniversaire de mariage","We came here for our wedding anniversary"
"vacances","Je suis venu avec une amie","I came with a friend (context: this friend is a girl)"
"vacances","Je suis ici pour mon travail","I'm here for my work"
"vacances","On m'a conseillé d'aller à","I was advised to go to"
"vacances","à une prochaine","see you next time"
"vacances","J'ai l'intention d'aller à ...","I intend to go to ..."
"vacances","C'est la première fois que vous venez ici?","Is it your first time here?"
"vacances","ça vous plaît?","do you like it?"
"vacances","ça fait combien de temps que tu es ici?","How long have you been here for? (informal)"
"vacances","Passez de bonnes vacances","Have a great holiday"
,"Je peux te donner mon adresse mail","I can give you my email address (informal)"
,"Tu me donnes ton adresse mail?","Can you give me me your email address? (informal)"
,"Vous êtes toujours les bienvenus","You are always welcome in our home (plural)"
,"Est-ce que vous avez une adresse mail ?","Do you have an email address? (formal)"
"avis/ressenti","Est-ce que c'est dangereux de ... ?","Is it dangerous to ... ?"
"avis/ressenti","C'est une bonne idée, pourquoi pas ?","It is a good idea, why not?"
"avis/ressenti","J'ai beaucoup aimé...","I loved it"
"avis/ressenti","J'aimerais bien ...","I would like ..."
"avis/ressenti","J'aurais bien aimé ...","I would have liked ..."
"avis/ressenti","J'ai trouvé ça ...","I found it ..."
"avis/ressenti","ça m'est égal","I don't care"
"avis/ressenti","Je suis d'accord","I agree"
"avis/ressenti","Je ne suis pas d'accord","I don't agree"
"avis/ressenti","ça ne me dit pas trop","I don't feel like (check whether it is correct)"
"avis/ressenti","ça a un drôle de goût","it tastes funny"
"avis/ressenti","ça m'énerve","It gets on my nerves"
"avis/ressenti","C'est de l'arnaque","It is dailight robbery"
"avis/ressenti","C'est un attrape-touriste","It is a tourist trap"
"avis/ressenti","C'est très animé le soir","It is very lively at night"
"avis/ressenti","Il y avait beaucoup de monde","It was crowded"
"avis/ressenti","Il y a trop de monde","It is too crowded"
"avis/ressenti","Je me suis ennuyé à mourir","I was bored to death"
"avis/ressenti","On s'est bien amusés","We had great fun"
"avis/ressenti","J'ai rencontré des gens très sympas","I met some very nice people"
"avis/ressenti","Il y avait une super ambiance","There was a great atmosphere"
"avis/ressenti","Je n'ai pas compris grand-chose","I did not understand much"
"avis/ressenti","On a trouvé un petit hôtel très sympa","We found a small, friendly hotel"
"avis/ressenti","ça t'a plu ?","Did you like? (informal)"
"avis/ressenti","ça te dit de... ?","Do you fancy ... ?"
"avis/ressenti","ça n'a rien d'exceptionnel","it was not exceptional"
"avis/ressenti","Vous devriez y aller","You should go (context: visit something)"
"avis/ressenti","Il faut absolument que vous goûtiez à","You simply must taste ... (formal)"
"avis/ressenti","Il vaut mieux y aller en semaine, il y a moins de monde","You should go during the week, it is less crowded (informal)"
"avis/ressenti","Est-ce que tu aimes... ?","Do you like ... ? (informal)"
"météo","Quel temps va t-il faire demain?","What is the weather going to be like tomorrow?"
"météo","Il va faire mauvais","The weather will be bad tomorrow"
"météo","Il va pleuvoir tout l'après midi","It will rain all afternoon"
"météo","Il va faire beau","The weather will be beautiful"
"météo","Quel sale temps!","What beastly weather! "
"météo","On a de la chance avec le temps","We are lucky with the weather"
"météo","Il fait un temps magnifique","The weather is splendid"
"météo","Il fait froid le soir","It's cold at night"
"météo","Quelle belle journée, hein?","What a beautiful day, huh?"
"météo","On a eu de la chance avec le temps","We were lucky with the weather"
"météo","Il va pleuvoir demain","It will rain tomorrow"
"météo","Il va neiger demain","It will snow tomorrow"
"météo","Ils ont prévu du beau temps pour demain","The weather forecast promised a good weather for tomorrow"
"météo","Il va pleuvoir jusqu'à jeudi","It will rain until Thursday"
"météo","Il risque de pleuvoir demain","It might rain tomorrow"
"météo","Il va y avoir du vent demain","There will be wind tomorrow"
"voyage et transport","Où est-ce que je peux acheter des billets pour .... ?","Where can I buy tickets to ...?"
"voyage et transport","Un billet pour ..., s'il vous plaît","One ticket to ..., please"
"voyage et transport","Combien coûte un billet pour ...?","How much is a ticket to ...?"
"voyage et transport","Je voudrais réserver un billet pour ...","I would like to book a ticket to ..."
"voyage et transport","Est-ce-qu'il y a des réductions pour les étudiants ?","Are there discounts for students?"
"voyage et transport","Est-ce qu'il vous reste des places pour... ?","Are there any seats left to .. ?"
"voyage et transport","Il n'y en a pas plus tôt?","Is there anything earlier? (context: trying to buy a seat)"
"voyage et transport","Il n'y en a pas plus tard?","Is there anything later? (context: trying to buy a seat)"
"voyage et transport","Combien de temps dure le voyage?","How long is the trip?"
"voyage et transport","Est-ce que cette place est libre?","Is this seat taken?"
"voyage et transport","Désolé, il y a déjà quelqu'un","Sorry, this seat is taken"
"voyage et transport","Où est l'enregistrement des bagages pour British Airways?","Where is the baggage check in for British Airways?"
"voyage et transport","A quelle heure embarque t-on?","What is the boarding time? (context: airport)"
"voyage et transport","Je voudrais confirmer mon vol de retour","I would like to confirm my return flight"
"voyage et transport","Il me manque une valise","One of my suitcases is missing (context: airport bagage claim)"
"voyage et transport","Mes bagages ne sont pas arrivés","My luggage did not arrive"
"voyage et transport","J'ai raté ma correspondance","I missed my connection"
"voyage et transport","L'avion a eu quatre heures de retard","The plane was four hours late"
"voyage et transport","Veuillez patienter dans la salle d'embarquement","Please wait in the lounge (formal)"
"voyage et transport","salle d'embarquement","lounge (context: airport)"
"voyage et transport","embarquement immédiat","now boarding"
"voyage et transport","marchandises à déclarer","goods to declare"
"voyage et transport","Rien à déclarer","Nothing to declare"
"voyage et transport","Une place côté hublot ou côté couloir?","Window or aisle seat?"
"voyage et transport","Vous avez une correspondance à New Dehli","You have a flight connection in New Delhi"
"voyage et transport","Combien de bagages avez-vous?","How many pieces of luggage do you have?"
"voyage et transport","Vous avez un excédent de cinq kilos","You have an excess of five kilograms (context: luggage in airport)"
"voyage et transport","Voilà votre carte d'embarquement","Here is your boarding pass"
"voyage et transport","A quelle heure est le prochain train pour New Delhi ?","At what time is the next train to New Delhi?"
"voyage et transport","A quelle heure part le dernier train pour New Delhi ?","At what time is the last train to New Delhi?"
"voyage et transport","De quel quai part le train pour New Delhi?","From which platform will the train to New Delhi leave ?"
"voyage et transport","Où est-ce que je peux prendre un bus pour le centre-ville?","Where can I take a bus to the city center?"
"voyage et transport","Quelle ligne dois-je prendre pour aller au centre-ville?","Which line should I take to go downtown?"
"voyage et transport","C'est bien l'arrêt pour .. ?","I this the stop for .. ? (context: in the bus, going to a Museum)"
"voyage et transport","C'est bien ici que passe le car pour Berlin?","The bus to Berlin passes here, doesn't it?"
"voyage et transport","J'ai raté mon train","I missed my train"
"voyage et transport","J'ai raté mon bus","I missed my bus"
"voyage et transport","Pourriez-vous me dire quand il faut descendre?","Could you tell me when to get off?"
